gid,pid,detail,no_play,off,def,type,psr,trg,bc,qtr,los,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,comp,ints,back,hash,mot,box,pap,trick,qbp,qbhi,qbhu,qbru,sneak,scrm,htm,pru,blz,oop,oopd,cov_type,cnb,cball,qbta,high,crr,intw,drp,avsk,fread,scre,mbt,ttp,qbsk,ttpr,dot,yac,yaco,sep,qb_pos,inc_type,rte,read,concept,rmod,pres1_type,pres1_def,pres1_off,pres2_type,pres2_def,pres2_off,pres3_type,pres3_def,pres3_off,mt1_def,mt1_type,mt1_cause,mt2_def,mt2_type,mt2_cause,mt3_def,mt3_type,mt3_cause,pri_def,sec_def,shell,rpo,trg_sep,bb_off1,bb_def1,bb_off2,bb_def2,bb_off3,bb_def3,stunt,db_count,pru_show,blz1,blz2,blz3,blz4,pshell,bc_read
7035,1156019,(14:25) 4-J.Cook up the middle to BUF 36 for 12 yards (36-C.Clark; 29-A.Maddox).,FALSE,BUF,DET,RUSH,,,00-0037248,1,BUF 24,2,1,24,2,12,1,1,0,0,0,0,1,L,1,6,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,U,,,,Inside Zone,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,5,0,,,,,,Cutback
7035,1156020,"(13:48) 17-J.Allen sacked at BUF 32 for -4 yards (97-A.Hutchinson). FUMBLES (97-A.Hutchinson) [97-A.Hutchinson], recovered by BUF-79-S.Brown at BUF 31.",FALSE,BUF,DET,PASS,00-0034857,,,1,BUF 36,1,10,36,2,-5,0,0,0,0,0,0,1,L,1,8,1,0,1,1,0,0,0,0,0,5,1,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,1,2.3,NA,NA,NA,,U,,,,,,P,00-0037236,00-0036976,,,,,,,,,,,,,,,,,,3,0,,,,,,,,0,4,5,00-0039018,,,,Closed,
7035,1156021,"(12:54) (Shotgun) 17-J.Allen scrambles right end ran ob at BUF 44 for 13 yards (45-D.White). PENALTY on DET-4-D.Reed, Defensive Holding, 5 yards, enforced at BUF 44.",FALSE,BUF,DET,RUSH,,,00-0034857,1,BUF 31,2,15,31,2,13,1,1,1,0,0,0,1,L,1,6,0,0,1,0,1,0,0,1,0,4,0,0,P,,0,0,0,0,0,0,0,0,0,0,0,NA,0,1.8,NA,NA,NA,,S,,,SD,,,P,00-0036624,00-0038548,,,,,,,,,,,,,,,,,,2,0,,,,,,,,1,4,4,,,,,Open,
7035,1156022,(12:26) 4-J.Cook right guard to 50 for 1 yard (46-J.Campbell; 91-T.Williams).,FALSE,BUF,DET,RUSH,,,00-0037248,1,BUF 49,1,10,49,3,1,0,0,0,0,0,0,1,R,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0,,U,,,,Man/Duo,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4,0,,,,,,Tar Ang/Gap
7035,1156023,(11:48) (Shotgun) 17-J.Allen scrambles right tackle ran ob at DET 38 for 12 yards (55-D.Barnes).,FALSE,BUF,DET,RUSH,,,00-0034857,1,MID 50,2,9,50,3,12,1,1,1,0,0,0,1,R,1,5,0,0,1,0,1,0,0,1,0,4,0,1,P,,0,0,0,0,0,0,0,0,0,0,0,NA,0,1.9,NA,NA,NA,,S,,,SD,,,P,00-0037236,00-0036976,,,,,,,,,,,,,,,,,,2,0,,,,,,,,0,5,4,,,,,Open,
7035,1156024,(11:08) 17-J.Allen pass short middle to 10-K.Shakir to DET 25 for 13 yards (46-J.Campbell).,FALSE,BUF,DET,PASS,00-0034857,00-0037261,,1,DET 38,1,10,62,4,13,1,1,0,0,1,0,1,R,1,6,1,0,0,0,0,0,0,0,0,5,1,0,,,0,1,0,0,0,0,0,0,1,0,0,2.86,0,NA,13,0,0,OPN,U,,3 - Hitch/Curl,1,,,,,,,,,,,,,,,,,,,,,00-0039018,,3,0,2,,,,,,,0,4,4,00-0035637,,,,Open,
7035,1156025,(10:28) 4-J.Cook right guard to DET 15 for 10 yards (29-A.Maddox).,FALSE,BUF,DET,RUSH,,,00-0037248,1,DET 25,1,10,75,4,10,1,1,0,0,0,0,1,M,1,7,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,3,,U,,,,Outside Zone,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4,0,,,,,,Cutback
7035,1156026,(9:42) 17-J.Allen scrambles left tackle to DET 1 for 14 yards (23-R.Ya-Sin; 4-D.Reed).,FALSE,BUF,DET,RUSH,,,00-0034857,1,DET 15,1,10,85,5,14,1,1,0,0,0,0,1,R,1,7,1,0,0,0,0,0,0,1,0,5,1,1,DR,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,U,,,SD,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,0,4,5,,,,,Closed,
7035,1156027,"(9:13) (No Huddle) 17-J.Allen left guard for 1 yard, TOUCHDOWN.",FALSE,BUF,DET,RUSH,,,00-0034857,1,DET 1,1,1,99,5,1,1,1,0,1,0,0,1,L,0,7,0,0,0,0,0,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,U,,,,QB Sneak,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,4,0,,,,,,Tar Ang/Gap
7035,1156028,"16-T.Bass extra point is GOOD, Center-69-R.Ferguson, Holder-39-T.Doman.",FALSE,BUF,DET,FGXP,,,,1,DET 15,0,0,85,5,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,
