"","season","posteam","week","penalty_type","plays"
"378",2024,"DAL",3,"Defensive Holding",2
"379",2024,"DAL",3,"Face Mask",1
"380",2024,"DAL",3,"False Start",3
"381",2024,"DAL",3,"Illegal Contact",2
"382",2024,"DAL",3,"Offensive Holding",3
"383",2024,"DAL",3,"Roughing the Passer",1
"384",2024,"DAL",3,NA,85
"385",2024,"DAL",4,"False Start",1
"386",2024,"DAL",4,"Illegal Formation",1
"387",2024,"DAL",4,"Offensive Holding",4
"388",2024,"DAL",4,"Offensive Pass Interference",1
"389",2024,"DAL",4,"Taunting",1
"390",2024,"DAL",4,NA,64
"391",2024,"DAL",5,"Defensive Holding",1
"392",2024,"DAL",5,"Defensive Offside",1
"393",2024,"DAL",5,"Face Mask",1
"394",2024,"DAL",5,"False Start",4
"395",2024,"DAL",5,"Illegal Formation",1
"396",2024,"DAL",5,"Intentional Grounding",1
"397",2024,"DAL",5,"Neutral Zone Infraction",1
"398",2024,"DAL",5,"Unnecessary Roughness",1
"399",2024,"DAL",5,NA,82
"400",2024,"DAL",6,"Defensive Holding",2
"401",2024,"DAL",6,"Defensive Pass Interference",2
"402",2024,"DAL",6,"False Start",1
"403",2024,"DAL",6,"Player Out of Bounds on Kick",1
"404",2024,"DAL",6,NA,79
"405",2024,"DAL",8,"Defensive Pass Interference",2
"406",2024,"DAL",8,"False Start",1
"407",2024,"DAL",8,"Illegal Formation",1
"408",2024,"DAL",8,"Illegal Forward Pass",1
"409",2024,"DAL",8,"Neutral Zone Infraction",1
"410",2024,"DAL",8,"Offensive Holding",1
"411",2024,"DAL",8,NA,74
"412",2024,"DEN",1,"Delay of Game",2
"413",2024,"DEN",1,"False Start",1
"414",2024,"DEN",1,NA,90
"415",2024,"DEN",2,"Defensive Offside",1
"416",2024,"DEN",2,"Illegal Formation",1
"417",2024,"DEN",2,"Neutral Zone Infraction",2
"418",2024,"DEN",2,"Offensive Holding",2
"419",2024,"DEN",2,NA,71
"420",2024,"DEN",3,"Defensive Offside",3
