gid,pid,detail,off,def,type,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,dot,ptck1,ptck2,sk1,sk2,ptm,pen,desc,pey,act,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,td,td_type,epa,dpbk,stunt,db_count
6733,1106009,(3:53) (Shotgun) 15-P.Mahomes pass short left to 1-X.Worthy pushed ob at PHI 4 for 7 yards (27-Q.Mitchell).,KC,PHI,PASS,5,4,3,53,6,40,1,1,1,10,89,5,7,1,0,1,0,0,,0,,,,00-0033873,1,0,SL,00-0039894,,-2,00-0039888,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.548,00-0033873,0,5
6733,1106010,"(3:48) (Shotgun) 15-P.Mahomes pass short left to 5-M.Brown for 4 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on KC-9-J.Smith-Schuster, Offensive Pass Interference, 10 yards, enforced at PHI 4 - No Play.",KC,PHI,NOPL,5,4,3,48,6,40,1,1,2,3,96,5,0,0,0,1,0,0,,0,,,,00-0033873,0,0,,,,0,,,,,KC,00-0033857,Offensive Pass Interference,-10,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-1.521,00-0033873,0,5
6733,1106011,(3:43) (Shotgun) 15-P.Mahomes scrambles left end to PHI 7 for 7 yards (55-B.Graham).,KC,PHI,RUSH,45,4,3,43,6,40,1,1,2,13,86,5,7,1,0,1,0,0,00-0033873,0,LE,00-0027865,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0.031,00-0033873,1,5
6733,1106012,"(2:58) (Shotgun) 15-P.Mahomes pass short left to 8-D.Hopkins for 7 yards, TOUCHDOWN.",KC,PHI,PASS,4,4,2,58,6,40,1,1,3,6,93,5,7,1,1,1,0,6,,0,,,,00-0033873,1,0,SL,00-0030564,,7,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,1,REC,2.899,00-0033873,0,5
6733,1106013,"TWO-POINT CONVERSION ATTEMPT. 15-P.Mahomes pass to 84-Ju.Watson is complete. ATTEMPT SUCCEEDS. PENALTY on PHI-32-R.Blankenship, Illegal Use of Hands, 5 yards, enforced between downs.",KC,PHI,NOPL,0,4,2,54,12,40,1,1,0,0,98,5,2,1,0,0,0,2,,0,,,,00-0033873,0,0,,00-0034386,,0,,,,,PHI,00-0037130,Illegal Use of Hands,5,NA,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,1.053,00-0033873,0,5
6733,1106014,54-L.Chenal kicks onside 14 yards from KC 40 to PHI 46. 29-A.Maddox (didn't try to advance) to PHI 46 for no gain.,PHI,KC,KOFF,2,4,2,54,40,14,1,1,0,0,60,4,0,1,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,00-0037819,0,0,0,,0,0,,0.843,,0,
6733,1106015,(2:52) 7-K.Pickett in at QB. (Shotgun) 14-K.Gainwell left guard to 50 for 4 yards (23-D.Tranquill).,PHI,KC,RUSH,5,4,2,52,40,14,1,1,1,10,46,3,4,0,0,1,0,0,00-0036919,0,LG,00-0035262,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.846,,0,4
6733,1106016,Timeout #3 by KC at 02:47.,NA,NA,NOPL,0,4,2,47,0,0,0,0,0,0,50,3,0,0,0,0,0,0,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,0,,0,
6733,1106017,(2:47) (Shotgun) 14-K.Gainwell up the middle to KC 49 for 1 yard (90-C.Omenihu).,PHI,KC,RUSH,42,4,2,47,40,14,1,0,2,6,50,3,1,0,0,1,0,0,00-0036919,0,RM,00-0035279,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.363,,0,4
6733,1106018,"(2:05) (Shotgun) 14-K.Gainwell left tackle to 50 for -1 yards (32-N.Bolton, 98-T.Wharton).",PHI,KC,RUSH,6,4,2,5,40,14,1,0,3,5,51,3,-1,0,0,1,0,0,00-0036919,0,LT,00-0036621,00-0035890,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,0,,,0,,,,0,,,0,,-0.911,,0,4
